Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,Respuesta correcta,Explicación
¿Qué exige el artículo 52 del TREBEP a los empleados públicos en el desempeño de sus tareas?,Desempeñar con diligencia las tareas que tengan asignadas y velar por los intereses generales con sujeción y observancia de la ley orgánica y del resto del ordenamiento jurídico,Desempeñar con diligencia las tareas que tengan asignadas y velar por los intereses generales con sujeción y observancia de la Constitución y del resto del ordenamiento jurídico,"La aplicación de los principios de igualdad, mérito, capacidad y publicidad",La clasificación del personal empleado público según la naturaleza de su vínculo,2,El art. 52 del TREBEP dispone: 'Los empleados públicos deberán desempeñar con diligencia las tareas que tengan asignadas y velar por los intereses generales con sujeción y observancia de la Constitución y del resto del ordenamiento jurídico'. https://www.boe.es/buscar/act.php?id=BOE-A-2015-11719#a52
"¿Qué configuran, según el artículo 52 del TREBEP, los principios de objetividad, integridad, neutralidad, responsabilidad, imparcialidad, confidencialidad, dedicación al servicio público, transparencia, ejemplaridad, austeridad, accesibilidad, eficacia, honradez y promoción del entorno cultural y medioambiental?","La aplicación de los principios de igualdad, mérito, capacidad y publicidad","El Código de Conducta de los empleados públicos, junto con los principios éticos y de conducta regulados en los artículos siguientes",La clasificación del personal empleado público según la naturaleza de su vínculo,La provisión de puestos mediante procedimientos basados en mérito y capacidad,2,El art. 52 del TREBEP enumera estos principios (añadiendo también el respeto a la igualdad entre mujeres y hombres) como los que 'inspiran el Código de Conducta de los empleados públicos configurado por los principios éticos y de conducta regulados en los artículos siguientes'. https://www.boe.es/buscar/act.php?id=BOE-A-2015-11719#a52
"¿Informan los principios y reglas del Capítulo VI del Título III la interpretación y aplicación del régimen disciplinario, según el artículo 52 del TREBEP?","La aplicación de los principios de igualdad, mérito, capacidad y publicidad","Sí, los principios y reglas establecidos en este capítulo informarán la interpretación y aplicación del régimen disciplinario de los empleados públicos",La clasificación del personal empleado público según la naturaleza de su vínculo,La provisión de puestos mediante procedimientos basados en mérito y capacidad,2,"El art. 52, párrafo final, del TREBEP dispone: 'Los principios y reglas establecidos en este capítulo informarán la interpretación y aplicación del régimen disciplinario de los empleados públicos'. https://www.boe.es/buscar/act.php?id=BOE-A-2015-11719#a52"
¿Qué exige el artículo 53.1 del TREBEP en relación con la Constitución y el resto del ordenamiento jurídico?,Que los empleados públicos las respeten,Que los empleados públicos puedan ignorarlas si consideran que perjudican el interés público,"La aplicación de los principios de igualdad, mérito, capacidad y publicidad",Que su respeto sea meramente optativo,1,El art. 53.1 del TREBEP dispone que los empleados públicos 'respetarán la Constitución y el resto de normas que integran el ordenamiento jurídico'. https://www.boe.es/buscar/act.php?id=BOE-A-2015-11719#a53
¿En qué debe fundamentarse la actuación de los empleados públicos según el principio de imparcialidad recogido en el artículo 53.2 del TREBEP?,"En consideraciones objetivas orientadas hacia la imparcialidad y el interés común, al margen de cualquier factor que exprese posiciones personales, familiares, corporativas o clientelares","En consideraciones objetivas orientadas hacia la imparcialidad y el interés común, al margen de cualquier finformer que exprese posiciones personales, familiares, corporativas o clientelares","La aplicación de los principios de igualdad, mérito, capacidad y publicidad",La clasificación del personal empleado público según la naturaleza de su vínculo,1,"El art. 53.2 del TREBEP dispone que la actuación de los empleados públicos 'se fundamentará en consideraciones objetivas orientadas hacia la imparcialidad y el interés común, al margen de cualquier otro factor que exprese posiciones personales, familiares, corporativas, clientelares o cualesquiera otras que puedan colisionar con este principio'. https://www.boe.es/buscar/act.php?id=BOE-A-2015-11719#a53"
"¿A qué principios deben ajustar su actuación los empleados públicos con la Administración, sus superiores, compañeros, subordinados y ciudadanos, según el artículo 53.3 del TREBEP?",A los principios de lealtad y buena fe,"La aplicación de los principios de igualdad, mérito, capacidad y publicidad",Al principio de discrecionalidad absoluta,"A ningún principio específico, según su propio criterio",1,"El art. 53.3 del TREBEP dispone: 'Ajustarán su actuación a los principios de lealtad y buena fe con la Administración en la que presten sus servicios, y con sus superiores, compañeros, subordinados y con los ciudadanos'. https://www.boe.es/buscar/act.php?id=BOE-A-2015-11719#a53"
"¿En qué debe basarse la conducta de los empleados públicos según el artículo 53.4 del TREBEP, en relación con la no discriminación?","En el respeto de los derechos fundamentales y libertades públicas, evitando toda actuación que pueda producir discriminación por razón de nacimiento, origen racial o étnico, género, sexo, orientación sexual, religión o convicciones, opinión, discapacidad, edad o cualquier otra condición o circunstancia personal o social","En el respeto de los derechos fundamentales y libertades públicas, evitando toda actuación que pueda producir discriminación por razón de nacimiento, origen racial o étnico, género, sexo, orientación sexual, religión o convicciones, opinión, disoportunidad, edad o cualquier otra condición o circunstancia personal o social","La aplicación de los principios de igualdad, mérito, capacidad y publicidad",La clasificación del personal empleado público según la naturaleza de su vínculo,1,"El art. 53.4 del TREBEP dispone que la conducta de los empleados públicos 'se basará en el respeto de los derechos fundamentales y libertades públicas, evitando toda actuación que pueda producir discriminación alguna por razón de nacimiento, origen racial o étnico, género, sexo, orientación sexual, religión o convicciones, opinión, discapacidad, edad o cualquier otra condición o circunstancia personal o social'. https://www.boe.es/buscar/act.php?id=BOE-A-2015-11719#a53"
¿Qué deber de secreto impone el artículo 53.12 del TREBEP a los empleados públicos?,"Guardar secreto de las materias clasificadas u otras cuya difusión esté prohibida legalmente, y mantener la debida discreción sobre asuntos conocidos por razón de su cargo, sin poder usar la información para beneficio propio o de terceros o en perjuicio del interés público","La aplicación de los principios de igualdad, mérito, capacidad y publicidad",La clasificación del personal empleado público según la naturaleza de su vínculo,La provisión de puestos mediante procedimientos basados en mérito y capacidad,1,"El art. 53.12 del TREBEP dispone que los empleados públicos 'guardarán secreto de las materias clasificadas u otras cuya difusión esté prohibida legalmente, y mantendrán la debida discreción sobre aquellos asuntos que conozcan por razón de su cargo, sin que puedan hacer uso de la información obtenida para beneficio propio o de terceros, o en perjuicio del interés público'. https://www.boe.es/buscar/act.php?id=BOE-A-2015-11719#a53"
"¿Cómo deben tratar los empleados públicos a los ciudadanos, a sus superiores y a los restantes empleados, según el artículo 54.1 del TREBEP?","La aplicación de los principios de igualdad, mérito, capacidad y publicidad",Con atención y respeto,La clasificación del personal empleado público según la naturaleza de su vínculo,"Según el criterio personal de cada empleado, sin pauta general",2,"El art. 54.1 del TREBEP dispone: 'Tratarán con atención y respeto a los ciudadanos, a sus superiores y a los restantes empleados públicos'. https://www.boe.es/buscar/act.php?id=BOE-A-2015-11719#a54"
"¿Qué establece el artículo 54.6 del TREBEP en relación con regalos, favores o servicios?","La aplicación de los principios de igualdad, mérito, capacidad y publicidad","Que se rechazará cualquier regalo, favor o servicio en condiciones ventajosas que vaya más allá de los usos habituales, sociales y de cortesía, sin perjuicio de lo establecido en el Código Penal",La clasificación del personal empleado público según la naturaleza de su vínculo,La provisión de puestos mediante procedimientos basados en mérito y capacidad,2,"El art. 54.6 del TREBEP dispone: 'Se rechazará cualquier regalo, favor o servicio en condiciones ventajosas que vaya más allá de los usos habituales, sociales y de cortesía, sin perjuicio de lo establecido en el Código Penal'. https://www.boe.es/buscar/act.php?id=BOE-A-2015-11719#a54"
