"Pregunta","Respuesta 1","Respuesta 2","Respuesta 3","Respuesta 4","Respuesta correcta","Explicación"
"¿Qué exige el artículo 97.1 de la Ley 39/2015 antes de que las Administraciones inicien cualquier actuación material de ejecución que limite derechos de los particulares?","Nada, pueden ejecutar directamente sin resolución previa","Que previamente haya sido adoptada la resolución que le sirva de fundamento jurídico","Solo la autorización verbal de un superior jerárquico","Solo el consentimiento del interesado","2","El art. 97.1 LPAC dispone: 'Las Administraciones Públicas no iniciarán ninguna actuación material de ejecución de resoluciones que limite derechos de los particulares sin que previamente haya sido adoptada la resolución que le sirva de fundamento jurídico'. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10565#a97"
"¿Cuál de los siguientes NO es un supuesto en que un acto administrativo deja de ser inmediatamente ejecutivo según el artículo 98.1 de la Ley 39/2015?","Que se produzca la suspensión de la ejecución del acto","Que se trate de una resolución sancionadora contra la que quepa recurso en vía administrativa, incluido el potestativo de reposición","Que el interesado manifieste verbalmente su desacuerdo con el acto","Que se necesite aprobación o autorización superior","3","El art. 98.1 LPAC dispone que los actos administrativos serán inmediatamente ejecutivos, salvo que: a) se suspenda su ejecución; b) se trate de una resolución sancionadora recurrible en vía administrativa; c) una disposición establezca lo contrario; o d) se necesite aprobación o autorización superior. El mero desacuerdo verbal del interesado, sin ejercitar cauce legal alguno, no suspende la ejecutividad. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10565#a98"
"¿Puede la Administración proceder a la ejecución forzosa de sus actos sin previo apercibimiento, según el artículo 99 de la Ley 39/2015?","Sí, sin ningún requisito previo","No, deberá mediar previo apercibimiento, salvo suspensión legal o cuando la Constitución o la Ley exijan intervención judicial","Solo si el interesado lo solicita","Solo en procedimientos sancionadores","2","El art. 99 LPAC dispone: 'Las Administraciones Públicas, a través de sus órganos competentes en cada caso, podrán proceder, previo apercibimiento, a la ejecución forzosa de los actos administrativos, salvo en los supuestos en que se suspenda la ejecución de acuerdo con la Ley, o cuando la Constitución o la Ley exijan la intervención de un órgano judicial'. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10565#a99"
"¿Cuáles son los cuatro medios de ejecución forzosa que enumera el artículo 100.1 de la Ley 39/2015?","Apremio sobre el patrimonio, ejecución subsidiaria, multa coercitiva y compulsión sobre las personas","Solo el apremio sobre el patrimonio","Prisión, multa, decomiso y expulsión","Amonestación, suspensión, inhabilitación y extinción","1","El art. 100.1 LPAC enumera como medios de ejecución forzosa, respetando siempre el principio de proporcionalidad: a) apremio sobre el patrimonio; b) ejecución subsidiaria; c) multa coercitiva; y d) compulsión sobre las personas. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10565#a100"
"Si son varios los medios de ejecución forzosa admisibles, ¿cuál debe elegirse según el artículo 100.2 de la Ley 39/2015?","El más restrictivo de la libertad individual","El menos restrictivo de la libertad individual","El más económico para la Administración","El primero enumerado en la Ley","2","El art. 100.2 LPAC dispone: 'Si fueran varios los medios de ejecución admisibles se elegirá el menos restrictivo de la libertad individual'. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10565#a100"
"¿Qué necesita la Administración para entrar en el domicilio del afectado a efectos de ejecución forzosa, según el artículo 100.3 de la Ley 39/2015?","Nada, puede entrar libremente si tiene un acto administrativo firme","El consentimiento del titular o, en su defecto, la oportuna autorización judicial","Solo la presencia de dos testigos","Solo notificación previa de veinticuatro horas","2","El art. 100.3 LPAC dispone: 'Si fuese necesario entrar en el domicilio del afectado o en los restantes lugares que requieran la autorización de su titular, las Administraciones Públicas deberán obtener el consentimiento del mismo o, en su defecto, la oportuna autorización judicial'. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10565#a100"
"¿Cuándo procede la ejecución subsidiaria de un acto administrativo según el artículo 102.1 de la Ley 39/2015?","Únicamente para actos personalísimos","Cuando se trate de actos que, por no ser personalísimos, puedan ser realizados por sujeto distinto del obligado","Solo si el obligado consiente expresamente","Nunca, la ejecución subsidiaria no existe en esta Ley","2","El art. 102.1 LPAC dispone: 'Habrá lugar a la ejecución subsidiaria cuando se trate de actos que por no ser personalísimos puedan ser realizados por sujeto distinto del obligado', realizándose el acto la Administración por sí o a través de terceros, a costa del obligado. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10565#a102"
"¿En qué supuesto de los previstos en el artículo 103.1 de la Ley 39/2015 puede imponerse una multa coercitiva?","En actos personalísimos en que no proceda la compulsión directa sobre la persona del obligado, entre otros supuestos","Únicamente en procedimientos tributarios","Solo cuando lo autorice el interesado","Nunca, la multa coercitiva no cabe en el Derecho español","1","El art. 103.1 LPAC permite imponer multas coercitivas, cuando lo autoricen las leyes, en tres supuestos: a) actos personalísimos en que no proceda la compulsión directa; b) actos en que, procediendo la compulsión, la Administración no la estime conveniente; y c) actos cuya ejecución pueda el obligado encargar a otra persona. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10565#a103"
"¿Es la multa coercitiva compatible con las sanciones que puedan imponerse por los mismos hechos, según el artículo 103.2 de la Ley 39/2015?","No, son excluyentes entre sí","Sí, la multa coercitiva es independiente de las sanciones que puedan imponerse con tal carácter y compatible con ellas","Solo si lo autoriza expresamente un juez","Solo en materia urbanística","2","El art. 103.2 LPAC dispone: 'La multa coercitiva es independiente de las sanciones que puedan imponerse con tal carácter y compatible con ellas'. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10565#a103"
"¿En qué condiciones puede ejecutarse la compulsión directa sobre las personas según el artículo 104.1 de la Ley 39/2015?","Libremente, sin ningún límite","Cuando la ley expresamente lo autorice, y siempre dentro del respeto debido a la dignidad de la persona y a los derechos reconocidos en la Constitución","Solo si lo solicita el propio afectado","Nunca puede ejecutarse compulsión sobre las personas","2","El art. 104.1 LPAC dispone que los actos que impongan una obligación personalísima de no hacer o soportar 'podrán ser ejecutados por compulsión directa sobre las personas en los casos en que la ley expresamente lo autorice, y dentro siempre del respeto debido a su dignidad y a los derechos reconocidos en la Constitución'. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10565#a104"
